Module 1	Module 2	Module 3	Module 4	Module 5	Module 6	Module 7	Module 8	Module 9	Module 10	Module 11	Module 12	Module 13	Module 14	Module 15
Ube2c	Ncl	Pclaf	Ifitm1	Tmsb4x	Fth1	Ahnak	Gsto1	Gnas	Ccnd1	Hsp90aa1	Actb	Mt1	Sorbs2	Lgals1
Top2a	Hnrnpu	Dut	Ifitm3	Ctla2a	Krt19	Sptbn1	Cd81	Slpi	Scd2	Nop56	Tagln2	Mt2	Krt20	Pgk1
Cenpf	Set	Hells	Cp	Sparc	Id1	Prrc2c	Cited2	Tmem252	Cd44	Lyar	Calm1	Nupr1	Nfib	Id2
Hmgb2	Hspd1	Pcna	Thbs1	Clu	Plac8	Myh9	Ecm1	Prxl2a	Hmga2	Dnajc2	Anxa2	Eif4ebp1	Fut8	Id3
Prc1	Eif3a	Nasp	Slc6a6	Krt8	Cxcl3	Itgb1	Igfbp7	Il33	Sema3c	Tuba1b	Ctsl	Asns	Kdm5b	Ldha
Tubb4b	Hnrnpa2b1	Mcm3	Igfbp3	Fn1	Cxcl5	Msn	Itm2b	Hsph1	Lmo7	Srsf2	Rgs16	Prkg2	Arl4c	Areg
Arl6ip1	Nolc1	Atad2	Col4a1	Krt18	Ppbp	Atrx	Cdkn1a	Bst1	Tns4	Gnl3	Sfn	Nars	Cdh6	Fdps
Cenpa	Lmnb1	Clspn	Palmd	Actg1	Esd	Lars2	Gabarap	Lgals3	Far1	Ybx3	Ier3	Atf4	Sox11	S100a14
Birc5	Caprin1	Fam111a	Mgst1	Anxa1	Cxcl1	Rrbp1	Ecscr	Peg3	Npnt	Ifrd1	Fbln2	Mthfd2	Marcks	Ckb
Cdk1	Hnrnpab	Tyms	Akr1c18	Tnnt2	Cxcl2	Ankrd11	Dusp1	Fabp5	Ezr	Zmynd19	Capg	Trib3	Alcam	Pgam1
Cks2	Hspa4	Slbp	Gclc	Aplp2	Ramp3	Ctnna1	Dcxr	Dynap	Zfp36l2	Ppig	Ptgs2	Psat1	Map3k2	Tpi1
